time,wx,wy,wz,ax,ay,az,Bx,By,Bz
 0,-28,-57,-101,-44,-193,4050,-8,3,-65
 1,-16,-6,1,-54,-188,4048,-1,0,-90
 2,-16,-5,3,-43,-199,4068,6,-8,-81
 3,-12,-6,2,-34,-187,4059,-8,4,-91
 4,-14,-6,1,-53,-193,4066,-9,-1,-91
 5,-16,-7,3,-54,-207,4055,-2,-21,-82
 6,-15,-5,2,-60,-206,4033,8,-11,-87
 7,-13,-7,1,-34,-185,4056,4,-2,-60
 8,-13,-7,1,-52,-194,4049,-6,-34,-107
 9,-13,-5,3,-56,-188,4078,20,-11,-81
 10,-13,-5,2,-56,-194,4047,1,-1,-96
 11,-15,-4,2,-52,-182,4068,1,-5,-74
 12,-16,-6,2,-47,-181,4058,5,-11,-75
 13,-15,-5,2,-47,-200,4078,5,5,-107
 14,-16,-5,1,-46,-206,4057,11,2,-81
 15,-14,-5,3,-60,-183,4050,-3,-10,-90
 16,-13,-6,3,-39,-200,4032,10,-13,-85
 17,-12,-5,3,-50,-193,4033,8,-15,-68
 18,-13,-5,2,-65,-202,4055,-9,-9,-86
 19,-13,-5,3,-38,-193,4028,0,-6,-104
 20,-15,-5,2,-54,-190,4057,-7,12,-64
 21,-15,-6,3,-47,-191,4094,-10,-18,-67
 22,-16,-5,3,-46,-195,4060,-7,-9,-80
 23,-15,-5,3,-52,-187,4041,14,-10,-49
 24,-12,-5,4,-40,-189,4060,-1,-6,-85
 25,-13,-6,4,-36,-189,4082,-6,8,-95
 26,-14,-5,4,-36,-194,4055,19,-24,-79
 27,-12,-5,4,-51,-196,4028,-14,-6,-54
 28,-12,-5,4,-51,-186,4085,-11,20,-67
 29,-14,-6,3,-43,-181,4044,4,4,-86
 30,-14,-7,3,-49,-189,4042,3,7,-60
 31,-17,-4,2,-49,-194,4085,-5,-8,-92
 32,-15,-6,2,-58,-200,4086,-4,-5,-91
 33,-15,-5,2,-48,-189,4057,-9,-3,-90
 34,-14,-7,2,-62,-184,4074,16,7,-86
 35,-12,-5,3,-47,-203,4040,3,6,-68
 36,-13,-5,2,-53,-192,4054,-3,3,-110
 37,-14,-6,3,-44,-189,4028,7,5,-76
 38,-16,-5,4,-51,-191,4036,12,-1,-83
 39,-13,-6,3,-53,-197,4042,22,-9,-83
 40,-14,-6,2,-49,-184,4026,0,21,-98
 41,-14,-5,1,-62,-199,4047,-3,4,-64
 42,-16,-5,2,-42,-185,4068,-7,2,-79
 43,-13,-5,3,-56,-193,4074,-2,-19,-70
 44,-15,-5,4,-51,-200,4078,13,5,-80
 45,-15,-5,3,-56,-179,4040,3,-10,-89
 46,-14,-6,3,-52,-181,4070,3,17,-56
 47,-15,-5,2,-43,-195,4080,0,9,-108
 48,-14,-6,2,-48,-193,4073,-20,-2,-75
 49,-15,-4,1,-52,-188,4074,-3,3,-73
 50,-14,-5,3,-45,-189,4034,29,-25,-78
 51,-12,-5,2,-49,-179,4061,5,-15,-82
 52,-15,-4,2,-49,-194,4061,0,-18,-105
 53,-14,-4,2,-47,-186,4069,-2,-22,-69
 54,-15,-4,2,-47,-178,4057,3,-5,-87
 55,-14,-5,3,-45,-194,4061,-10,-17,-74
 56,-14,-5,2,-55,-200,4042,-4,-2,-95
 57,-13,-5,2,-57,-189,4030,16,-5,-81
 58,-13,-6,2,-41,-199,4058,-17,2,-107
 59,-13,-5,1,-49,-201,4055,-11,1,-77
 60,-15,-6,2,-44,-180,4073,-13,-5,-81
 61,-14,-6,3,-47,-198,4086,-21,-16,-78
 62,-14,-5,3,-49,-189,4065,0,18,-60
 63,-14,-5,3,-38,-202,4040,24,6,-80
 64,-15,-5,4,-45,-189,4051,15,4,-89
 65,-15,-4,2,-48,-191,4053,14,-13,-53
 66,-14,-4,3,-51,-190,4050,0,-16,-72
 67,-15,-5,3,-49,-187,4056,6,-13,-73
 68,-15,-5,3,-49,-187,4064,-5,-7,-139
 69,-15,-4,4,-51,-186,4069,1,-18,-67
 70,-14,-6,3,-51,-194,4029,-2,-9,-88
 71,-14,-6,4,-45,-189,4045,6,6,-83
 72,-13,-7,2,-53,-181,4036,14,1,-80
 73,-13,-5,3,-49,-188,4057,-21,-5,-54
 74,-14,-5,3,-43,-192,4070,-6,5,-59
 75,-15,-6,2,-53,-195,4084,-4,-21,-68
 76,-13,-5,2,-51,-186,4064,11,-17,-90
 77,-15,-5,2,-52,-185,4063,-22,-29,-113
 78,-14,-5,2,-47,-203,4078,16,-17,-94
 79,-13,-5,2,-45,-190,4059,13,13,-61
 80,-14,-5,3,-61,-191,4040,-2,7,-28
 81,-16,-4,2,-53,-187,4070,7,0,-102
 82,-16,-5,3,-47,-188,4072,-9,9,-66
 83,-14,-5,3,-48,-174,4078,0,-25,-86
 84,-16,-6,4,-43,-196,4068,-5,-10,-72
 85,-15,-6,4,-49,-186,4070,-19,0,-86
 86,-14,-5,3,-52,-194,4054,-15,-18,-80
 87,-14,-3,4,-52,-195,4034,0,-13,-95
 88,-13,-5,4,-41,-191,4088,11,-11,-69
 89,-14,-6,3,-48,-189,4057,1,-18,-88
 90,-16,-7,3,-49,-187,4061,20,-11,-123
 91,-14,-7,2,-38,-182,4074,3,-6,-73
 92,-14,-6,2,-46,-190,4053,8,-20,-75
 93,-16,-6,4,-51,-183,4058,4,-17,-89
 94,-15,-5,3,-41,-174,4085,2,-8,-108
 95,-12,-5,3,-57,-192,4038,-4,12,-80
 96,-11,-5,1,-56,-191,4091,6,-3,-70
 97,-14,-4,2,-58,-182,4040,16,0,-91
 98,-14,-6,1,-43,-199,4045,5,-14,-80
 99,-16,-6,2,-42,-205,4068,1,2,-68
 100,-14,-5,2,-56,-201,4053,-4,-7,-69
 101,-14,-5,2,-53,-191,4055,-12,9,-90
 102,-13,-6,1,-63,-176,4061,-2,3,-76
 103,-13,-6,2,-56,-188,4070,-26,-1,-64
 104,-14,-7,1,-41,-201,4030,3,-6,-93
 105,-14,-4,1,-40,-216,4038,5,-15,-96
 106,-16,-7,2,-47,-188,4046,2,-13,-101
 107,-14,-6,2,-46,-198,4068,23,-3,-101
